employee_id,sex,job_title,job_family,job_level,legal_entity,country,department,fte,full_time_weekly_hours,base_salary,variable_pay,allowances,benefits_in_kind,hire_date,birth_year,performance_rating
E00001,M,Head of Support,Customer Support,5,DE GmbH,DE,Customer Support,1.0,40,89976.0,5607.0,6000.0,1500.0,2020-12-22,1983,4
E00002,M,Shift Lead,Operations,2,IE Ltd,IE,Operations,1.0,39,37894.0,1801.0,1523.0,0.0,2022-10-13,2000,2
E00003,F,HR Business Partner,People,3,FR SAS,FR,People,0.6,35,53966.0,2740.0,0.0,0.0,2022-03-24,1995,4
E00004,M,HR Generalist,People,2,ES SL,ES,People,1.0,40,34010.0,1788.0,0.0,0.0,2016-04-04,1988,3
E00005,F,Account Executive,Sales,2,NL BV,NL,Sales,1.0,38,46017.0,7289.0,0.0,0.0,2021-10-25,1989,3
E00006,F,Account Executive,Sales,2,IE Ltd,IE,Sales,0.8,39,41851.0,9205.0,0.0,0.0,2024-04-01,1994,2
E00007,F,HR Business Partner,People,3,DE GmbH,DE,People,1.0,40,60815.0,4166.0,0.0,0.0,2022-02-12,1990,3
E00008,M,Sales Associate,Sales,1,FR SAS,FR,Sales,0.8,35,32970.0,0.0,0.0,0.0,2023-02-11,1999,4
E00009,F,Senior Support Agent,Customer Support,2,IE Ltd,IE,Customer Support,1.0,39,39274.0,0.0,0.0,0.0,2023-07-10,1995,3
E00010,X,Principal Engineer,Engineering,5,NL BV,NL,Engineering,1.0,38,128869.0,10879.0,6000.0,0.0,2022-01-31,1988,4
E00011,F,Sales Associate,Sales,1,DE GmbH,DE,Sales,1.0,40,38662.0,7588.0,0.0,0.0,2024-02-23,1999,2
E00012,F,HR Manager,People,4,FR SAS,FR,People,1.0,35,78135.0,0.0,0.0,1500.0,2020-07-28,1989,2
E00013,M,Senior Accountant,Finance,3,ES SL,ES,Finance,1.0,40,46556.0,0.0,0.0,0.0,2015-02-20,1988,2
E00014,M,Finance Assistant,Finance,1,FR SAS,FR,Finance,1.0,35,37808.0,0.0,0.0,0.0,2025-01-01,2003,2
E00015,M,Junior Engineer,Engineering,1,NL BV,NL,Engineering,1.0,38,46054.0,3084.0,0.0,0.0,2024-07-24,1994,3
E00016,F,Junior Engineer,Engineering,1,DE GmbH,DE,Engineering,0.5,40,43552.0,0.0,0.0,0.0,2017-10-08,1994,3
E00017,M,Engineer,Engineering,2,ES SL,ES,Engineering,0.5,40,46078.0,0.0,0.0,0.0,2018-05-05,1987,2
E00018,F,Finance Assistant,Finance,1,FR SAS,FR,Finance,1.0,35,30725.0,2537.0,0.0,0.0,2024-06-03,1996,2
E00019,F,HR Assistant,People,1,ES SL,ES,People,1.0,40,25727.0,1451.0,0.0,0.0,2024-05-09,1998,3
E00020,F,Finance Director,Finance,5,DE GmbH,DE,Finance,0.8,40,115964.0,8687.0,4800.0,1500.0,2018-10-11,1988,4
E00021,M,Sales Associate,Sales,1,NL BV,NL,Sales,1.0,38,29271.0,8035.0,0.0,0.0,2022-04-16,2001,2
E00022,F,Shift Lead,Operations,2,NL BV,NL,Operations,0.8,38,39757.0,0.0,2509.0,0.0,2021-06-29,1994,4
E00023,M,Site Director,Operations,5,NL BV,NL,Operations,1.0,38,96601.0,5200.0,6000.0,0.0,2012-06-10,1980,4
E00024,M,Engineer,Engineering,2,NL BV,NL,Engineering,1.0,38,58820.0,0.0,0.0,0.0,2020-08-05,1988,3
E00025,M,HR Manager,People,4,FR SAS,FR,People,1.0,35,83129.0,5430.0,0.0,1500.0,2019-10-13,1987,3
E00026,F,Senior Accountant,Finance,3,ES SL,ES,Finance,0.5,40,44498.0,0.0,0.0,0.0,2023-05-13,1989,3
E00027,F,HR Assistant,People,1,NL BV,NL,People,1.0,38,35072.0,3084.0,0.0,0.0,2024-01-05,2005,4
E00028,M,Principal Engineer,Engineering,5,NL BV,NL,Engineering,1.0,38,115247.0,12115.0,6000.0,0.0,2020-05-17,1982,2
E00029,F,HR Director,People,5,FR SAS,FR,People,0.6,35,102844.0,4138.0,3600.0,0.0,2021-04-08,1986,3
