job_title,skills,effort,responsibility,working_conditions
Junior Engineer,2.4,2.0,1.4,1.2
Engineer,2.9,2.3,2.1,1.3
Senior Engineer,3.4,2.6,2.8,1.4
Staff Engineer,3.9,2.9,3.5,1.5
Principal Engineer,4.4,3.2,4.2,1.6
Engineering Director,4.9,3.5,4.9,1.7
Sales Associate,1.8,2.2,1.5,1.6
Account Executive,2.3,2.5,2.2,1.7
Senior Account Executive,2.8,2.8,2.9,1.8
Sales Manager,3.3,3.1,3.6,1.9
Regional Sales Director,3.8,3.4,4.3,2.0
VP Sales,4.3,3.7,5.0,2.1
Warehouse Operative,1.4,2.8,1.5,3.0
Shift Lead,1.9,3.1,2.2,3.1
Operations Supervisor,2.4,3.4,2.9,3.2
Operations Manager,2.9,3.7,3.6,3.3
Site Director,3.4,4.0,4.3,3.4
Head of Operations,3.9,4.3,5.0,3.5
Support Agent,1.5,2.4,1.3,2.2
Senior Support Agent,2.0,2.7,2.0,2.3
Support Team Lead,2.5,3.0,2.7,2.4
Support Manager,3.0,3.3,3.4,2.5
Head of Support,3.5,3.6,4.1,2.6
VP Customer Experience,4.0,3.9,4.8,2.7
Finance Assistant,2.2,2.0,1.5,1.2
Accountant,2.7,2.3,2.2,1.3
Senior Accountant,3.2,2.6,2.9,1.4
Finance Manager,3.7,2.9,3.6,1.5
Finance Director,4.2,3.2,4.3,1.6
CFO,4.7,3.5,5.0,1.7
HR Assistant,1.9,2.1,1.5,1.4
HR Generalist,2.4,2.4,2.2,1.5
HR Business Partner,2.9,2.7,2.9,1.6
HR Manager,3.4,3.0,3.6,1.7
HR Director,3.9,3.3,4.3,1.8
Chief People Officer,4.4,3.6,5.0,1.9
